src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,bwd_iat_total,fwd_packets,bwd_packets,fwd_packets_sec,bwd_packets_sec,fwd_bytes,bwd_bytes,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,psh_flag_count,down_up_ratio,avg_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_avg_bulk_rate,act_data_pkt_fwd,min_seg_size_forward,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flags,syn_flags,rst_flags,ack_flags,urg_flags,cwe_flags,ece_flags,fwd_header_len,bwd_header_len,subflow_fwd_pkts,subflow_fwd_bytes,subflow_bwd_pkts,subflow_bwd_bytes,init_win_bytes_fwd,init_win_bytes_bwd,active_mean,active_max,active_min,active_std,idle_mean,idle_max,idle_min,idle_std
131.3.168.192,32.133.24.184,55961,80,6,46599,0.00,0.00,0,0,46599,0,4,0,179918.02,0.00,932,0,54,758,233.00,303.15,367596.00,758,54,233.00,193.93,0,65535,0.00,0.00,1,0.00,233.00,233.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,54,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,8192,0,18446743535863549952.00,18446743535863549014,18446743535863549014,0.00,0.00,0,0,0.00
139.207.108.206,131.3.168.192,80,55960,6,98160909,0.00,0.00,0,0,98160909,0,11,0,234.88,0.00,4794,0,60,576,435.82,228.92,576451.64,576,60,435.82,-nan,0,65535,0.00,0.00,8,0.00,435.82,435.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,60,8,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,5840,0,9223371767947253760.00,18446743535863548258,30960249,0.00,0.00,0,0,0.00
32.133.24.184,131.3.168.192,80,55961,6,2562,0.00,0.00,0,0,2562,0,3,0,2454332.55,0.00,702,0,60,576,234.00,241.84,175464.00,576,60,234.00,61.09,0,65535,0.00,0.00,1,0.00,234.00,234.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,60,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,5840,0,18446743535863545856.00,18446743535863545423,18446743535863545423,0.00,0.00,0,0,0.00
131.3.168.192,232.5.55.65,55962,80,6,99413160,0.00,0.00,0,0,99413160,0,18,0,379.51,0.00,8520,0,54,1135,473.33,479.08,4131378.00,1135,54,473.33,74.00,0,65535,0.00,0.00,8,0.00,473.33,473.33,0.00,1119.25,1.50,0.00,0.00,0.00,0.00,18,54,8,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,8192,0,9223371767947372544.00,18446743535863542399,31203744,0.00,0.00,0,0,0.00
232.5.55.65,131.3.168.192,80,55962,6,98439810,0.00,0.00,0,0,98439810,0,10,0,212.92,0.00,12099,0,60,1514,1209.90,437.06,1910190.90,1514,60,1209.90,-nan,0,65535,0.00,0.00,8,0.00,1209.90,1209.90,0.00,1602.25,1.25,0.00,0.00,0.00,0.00,10,60,8,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,8190,0,9223371767947251712.00,18446743535863540593,30963630,0.00,0.00,0,0,0.00
131.3.168.192,140.95.54.65,55963,80,6,1918635,0.00,0.00,0,0,1918635,0,12,0,13109.32,0.00,1853,0,54,452,154.42,171.65,353558.92,452,54,154.42,74.96,0,65535,0.00,0.00,3,0.00,154.42,154.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,54,3,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,8192,0,18446743535863508992.00,18446743535863508232,18446743535863508232,0.00,0.00,0,0,0.00
140.95.54.65,131.3.168.192,80,55963,6,1919937,0.00,0.00,0,0,1919937,0,13,0,14192.13,0.00,13305,0,60,1514,1023.46,613.38,4891055.23,1514,60,1023.46,-nan,0,65535,0.00,0.00,3,0.00,1023.46,1023.46,0.00,3401.00,3.00,0.00,0.00,0.00,0.00,13,60,3,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,65535,0,18446743535863506944.00,18446743535863507497,18446743535863507497,0.00,0.00,0,0,0.00
131.3.168.192,48.202.215.63,55966,80,6,61923855,0.00,0.00,0,0,61923855,0,6,0,203.09,0.00,851,0,54,569,141.83,191.08,219080.83,569,54,141.83,128.05,0,65535,0.00,0.00,1,0.00,141.83,141.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,54,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,8192,0,9223371767931754496.00,18446743535863501911,5376,0.00,0.00,0,0,0.00
48.202.215.63,131.3.168.192,80,55966,6,61965246,0.00,0.00,0,0,61965246,0,4,0,135.30,0.00,858,0,60,678,214.50,267.60,286443.00,678,60,214.50,160.00,0,65535,0.00,0.00,1,0.00,214.50,214.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,60,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,8190,0,9223371767931750400.00,18446743535863500693,0,0.00,0.00,0,0,0.00
131.3.168.192,49.202.215.63,55967,80,6,61935804,0.00,0.00,0,0,61935804,0,6,0,203.05,0.00,976,0,54,694,162.67,237.66,338893.33,694,54,162.67,173.27,0,65535,0.00,0.00,1,0.00,162.67,162.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,54,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,8192,0,9223371767931750400.00,18446743535863497039,3234,0.00,0.00,0,0,0.00
49.202.215.63,131.3.168.192,80,55967,6,61961613,0.00,0.00,0,0,61961613,0,6,0,202.96,0.00,4544,0,60,1514,757.33,699.85,2938765.33,1514,60,757.33,-nan,0,65535,0.00,0.00,1,0.00,757.33,757.33,0.00,4364.00,3.00,0.00,0.00,0.00,0.00,6,60,1,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,8190,0,9223371767931749376.00,18446743535863496199,1050,0.00,0.00,0,0,0.00
131.3.168.192,101.213.14.72,55968,80,6,101769881,0.00,0.00,0,0,101769881,0,14,0,288.34,0.00,5654,0,54,1423,403.86,541.56,4106083.71,1423,54,403.86,360.82,0,65535,0.00,0.00,6,0.00,403.86,403.86,0.00,1765.50,2.50,0.00,0.00,0.00,0.00,14,54,6,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,8192,0,6148914511955043328.00,18446743535863459533,0,0.00,0.00,0,0,0.00
101.213.14.72,131.3.168.192,80,55968,6,101728637,0.00,0.00,0,0,101728637,0,11,0,226.64,0.00,1850,0,60,356,168.18,141.99,221763.64,356,60,168.18,-nan,0,65535,0.00,0.00,4,0.00,168.18,168.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,60,4,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,5720,0,6148914511955041280.00,18446743535863458987,0,0.00,0.00,0,0,0.00
131.3.168.192,37.17.55.65,55971,80,6,1668063,0.00,0.00,0,0,1668063,0,5,0,6282.74,0.00,1497,0,54,717,299.40,297.76,443311.20,717,54,299.40,-nan,0,65535,0.00,0.00,2,0.00,299.40,299.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,54,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,8192,0,18446743535863455744.00,18446743535863455522,18446743535863455522,0.00,0.00,0,0,0.00
131.3.168.192,147.213.14.72,57839,80,6,135979506,0.00,0.00,0,0,135979506,0,16,0,246.63,0.00,7647,0,54,1266,477.94,548.43,4812398.94,1266,54,477.94,268.98,0,65535,0.00,0.00,6,0.00,477.94,477.94,0.00,2082.00,3.33,0.00,0.00,0.00,0.00,16,54,6,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16088,0,9223371767933139968.00,18446743535863453380,2826801,0.00,0.00,0,0,0.00
37.17.55.65,131.3.168.192,80,55971,6,1530828,0.00,0.00,0,0,1530828,0,3,0,4107.58,0.00,1449,0,60,909,483.00,346.61,360414.00,909,60,483.00,-nan,0,65535,0.00,0.00,2,0.00,483.00,483.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,60,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,8190,0,18446743535863451648.00,18446743535863452603,18446743535863452603,0.00,0.00,0,0,0.00
147.213.14.72,131.3.168.192,80,57839,6,135970728,0.00,0.00,0,0,135970728,0,26,0,400.79,0.00,21818,0,60,1484,839.15,588.87,9015853.38,1484,60,839.15,-nan,0,65535,0.00,0.00,13,0.00,839.15,839.15,0.00,6243.33,7.33,0.00,0.00,0.00,0.00,26,60,13,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,1002,0,9223371767933130752.00,18446743535863449873,2811639,0.00,0.00,0,0,0.00
131.3.168.192,54.216.46.207,55972,80,6,5115045,0.00,0.00,0,0,5115045,0,8,0,3278.17,0.00,2156,0,54,681,269.50,276.29,610676.00,681,54,269.50,60.86,0,65535,0.00,0.00,3,0.00,269.50,269.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,54,3,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,8192,0,18446743535863441408.00,18446743535863441620,18446743535863441620,0.00,0.00,0,0,0.00
131.3.168.192,142.95.54.65,55973,80,6,1852170,0.00,0.00,0,0,1852170,0,16,0,18106.33,0.00,1264,0,54,442,79.00,93.77,140688.00,442,54,79.00,50.52,0,65535,0.00,0.00,1,0.00,79.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,54,1,0,0,0,1,1,0,15,0,0,0,0,0,0,0,0,0,8192,0,18446743535863441408.00,18446743535863440780,18446743535863440780,0.00,0.00,0,0,0.00
54.216.46.207,131.3.168.192,80,55972,6,3531633,0.00,0.00,0,0,3531633,0,4,0,2373.97,0.00,852,0,60,264,213.00,88.33,31212.00,264,60,213.00,-nan,0,65535,0.00,0.00,3,0.00,213.00,213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,60,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,8190,0,18446743535861932032.00,18446743535861931792,18446743535861931792,0.00,0.00,0,0,0.00
142.95.54.65,131.3.168.192,80,55973,6,339633,0.00,0.00,0,0,339633,0,26,0,160455.55,0.00,34632,0,60,1514,1332.00,464.31,5605088.00,1514,60,1332.00,-nan,0,65535,0.00,0.00,1,0.00,1332.00,1332.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26,60,1,0,0,0,1,1,0,26,0,0,0,0,0,0,0,0,0,65535,0,18446743535861925888.00,18446743535861926227,18446743535861926227,0.00,0.00,0,0,0.00
131.3.168.192,129.236.82.208,58264,80,6,16989,0.00,0.00,0,0,16989,0,5,0,616869.74,0.00,835,0,54,607,167.00,220.05,242108.00,607,54,167.00,143.29,0,65535,0.00,0.00,1,0.00,167.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,54,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,8192,0,18446743535861727232.00,18446743535861728197,18446743535861728197,0.00,0.00,0,0,0.00
129.236.82.208,131.3.168.192,80,58264,6,9723,0.00,0.00,0,0,9723,0,4,0,862285.30,0.00,456,0,60,270,114.00,90.10,32472.00,270,60,114.00,-nan,0,65535,0.00,0.00,1,0.00,114.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,60,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,4380,0,18446743535861719040.00,18446743535861718831,18446743535861718831,0.00,0.00,0,0,0.00
131.3.168.192,129.236.82.208,58265,80,6,50694,0.00,0.00,0,0,50694,0,6,0,248076.70,0.00,942,0,54,660,157.00,224.99,303726.00,660,54,157.00,161.16,0,65535,0.00,0.00,1,0.00,157.00,157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,54,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,8192,0,18446743535861710848.00,18446743535861710137,18446743535861710137,0.00,0.00,0,0,0.00
129.236.82.208,131.3.168.192,80,58265,6,49812,0.00,0.00,0,0,49812,0,8,0,336625.71,0.00,7104,0,60,1514,888.00,672.22,3615032.00,1514,60,888.00,-nan,0,65535,0.00,0.00,4,0.00,888.00,888.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,60,4,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,4380,0,18446743535861708800.00,18446743535861708163,18446743535861708163,0.00,0.00,0,0,0.00
105.213.14.72,131.3.168.192,443,57721,6,5649,0.00,0.00,0,0,5649,0,4,0,1484156.49,0.00,326,0,60,115,81.50,23.11,2137.00,115,60,81.50,-nan,0,65535,0.00,0.00,2,0.00,81.50,81.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,60,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,257,0,18446743535861655552.00,18446743535861654844,18446743535861654844,0.00,0.00,0,0,0.00
131.3.168.192,105.213.14.72,57721,443,6,1470,0.00,0.00,0,0,1470,0,2,0,2851700.68,0.00,108,0,54,54,54.00,0.00,0.00,54,54,54.00,-nan,0,65535,0.00,0.00,0,0.00,54.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,54,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,16213,0,18446743535861651456.00,18446743535861651799,18446743535861651799,0.00,0.00,0,0,0.00
131.3.168.192,129.236.82.208,58272,80,6,15057,0.00,0.00,0,0,15057,0,7,0,974430.50,0.00,954,0,54,618,136.29,196.70,270843.43,618,54,136.29,141.84,0,65535,0.00,0.00,1,0.00,136.29,136.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,54,1,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,8192,0,18446743535861647360.00,18446743535861648124,18446743535861648124,0.00,0.00,0,0,0.00
129.236.82.208,131.3.168.192,80,58272,6,14175,0.00,0.00,0,0,14175,0,8,0,1182927.69,0.00,7040,0,60,1514,880.00,672.86,3621944.00,1514,60,880.00,-nan,0,65535,0.00,0.00,4,0.00,880.00,880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,60,4,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,4380,0,18446743535861645312.00,18446743535861646255,18446743535861646255,0.00,0.00,0,0,0.00
18.213.14.72,131.3.168.192,443,49673,6,134603049,0.00,0.00,0,0,134603049,0,88,0,1370.31,0.00,11885,0,60,901,135.06,155.34,2123392.72,901,60,135.06,76.74,0,65535,0.00,0.00,57,0.00,135.06,135.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88,60,57,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,1002,0,18446743535861628928.00,18446743535861629140,18446743535861629140,0.00,0.00,0,0,0.00
131.3.168.192,18.213.14.72,49673,443,6,134630244,0.00,0.00,0,0,134630244,0,44,0,685.02,0.00,2921,0,54,164,66.39,34.59,52656.43,164,54,66.39,-nan,0,65535,0.00,0.00,5,0.00,66.39,66.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44,54,5,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,16376,0,18446743535861626880.00,18446743535861627040,18446743535861627040,0.00,0.00,0,0,0.00
